. Sequence file : [all_organisms_full.phylip]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.45432   0.24793  -0.84958   0.14733  
      	     	          	           	          	           	             	                                      	 0.16007   0.55612   0.16218  -0.87837  

  #63	12   	-1897.28986	Yes        	4        	4.000    	0.000    	 0.26955   0.20944   0.24624   0.27476	-0.95528   0.29204   0.30671   0.35654  
      	     	          	           	          	           	             	                                      	 0.37584  -1.33234   0.24829   0.70821  
      	     	          	           	          	           	             	                                      	 0.33574   0.21118  -0.71818   0.17125  
      	     	          	           	          	           	             	                                      	 0.34977   0.53985   0.15348  -1.04310  

  #64	12   	-1941.95539	Yes        	4        	4.000    	0.000    	 0.28182   0.23827   0.25544   0.22447	-0.87223   0.26961   0.36804   0.23458  
      	     	          	           	          	           	             	                                      	 0.31888  -1.28301   0.26756   0.69656  
      	     	          	           	          	           	             	                                      	 0.40604   0.24957  -0.75141   0.09580  
      	     	          	           	          	           	             	                                      	 0.29450   0.73938   0.10902  -1.14290  

  #65	12   	-1845.46820	Yes        	4        	4.000    	0.000    	 0.22246   0.21663   0.28690   0.27401	-1.03250   0.39507   0.38360   0.25382  
      	     	          	           	          	           	             	                                      	 0.40571  -1.45242   0.31294   0.73378  
      	     	          	           	          	           	             	                                      	 0.29745   0.23629  -0.68557   0.15183  
      	     	          	           	          	           	             	                                      	 0.20607   0.58012   0.15897  -0.94516  

  #66	12   	-1920.86671	Yes        	4        	4.000    	0.000    	 0.27206   0.18660   0.27421   0.26714	-0.92414   0.29709   0.47824   0.14880  
      	     	          	           	          	           	             	                                      	 0.43316  -1.47169   0.29738   0.74115  
